ESSN|DEPENDENT_NAME|PNO|TOTAL_HOURS_SPENT
123456789| Michael|1|33
123456789| Alice|1|33
123456789| Elizabeth|1|33
123456789| Michael|2|8
123456789| Alice|2|8
123456789| Elizabeth|2|8
333445555| Theodore|2|10
333445555| Theodore|3|10
333445555| Joy|3|10
333445555| Alice|10|20
333445555| Joy|10|20
333445555| Joy|20|10
987654321| Abner|20|15
753453457| Jo|30|30
753453457| Pep|10|20
753453457| Pep|20|10
333445555| Alice|3|10
333445555| Alice|2|10
333445555| Joy|2|10
753453457| Jo|20|10
333445555| Alice|20|10
753453457| Jo|10|20
333445555| Theodore|10|20
987654321| Abner|30|20
333445555| Theodore|20|10
753453457| Pep|30|30
